FRANÇAIS;ESPAGNOL;ANGLAIS;ALLEMAND
Adresse : 28, avenue de Gascogne - 31 110 Saint Mamet;;;
Tél.;;;
+33(0) 561 891 353;;;
Mob.;;;
+33(0) 618 641 429;;;
Coordonnées GPS;;;
Retourner à la liste;;;
Retourner à l'accueil;;;
Retour;;;
*;;;
euros;;;
;;;
 Footer;;;
Tous droits reservés© 2008;;;
Réalisation :;;;
Partenaires;;;
;;;
 Dates;;;
Janvier;;;
Février;;;
Mars;;;
Avril;;;
Mai;;;
Juin;;;
Juillet;;;
Août;;;
Septembre;;;
Octobre;;;
Novembre;;;
Décembre;;;
Jan;;;
Fév;;;
Mars;;;
Avr;;;
Mai;;;
Juin;;;
Juil;;;
Août;;;
Sept;;;
Oct;;;
Nov;;;
Déc;;;
Dimanche;;;
Lundi;;;
Mardi;;;
Mercredi;;;
Jeudi;;;
Vendredi;;;
Samedi;;;
Di;;;
Lu;;;
Ma;;;
Me;;;
Je;;;
Ve;;;
Sa;;;
Terminer;;;
Précédent;;;
Suivant;;;
Aujourd'hui;;;
Semaine;;;
dd/mm/yy;;;
1;;;
à;;;
Sem.;;;
;;;
 Homepage;;;
Dernières nouvelles;;;
Voir les autres actualités;;;
Lire la suite de l'article;;;
Activité au hasard;;;
Voir les autres activités;;;
Lire la suite de l'article;;;
;;;
 News;;;
Actualités;;;
Titre;;;
Contenus;;;
Illustrations;;;
Catégorie;;;
En ligne ?;;;
Édition de news;;;
Catégorie;;;
Titre;;;
Contenu;;;
Lien;;;
Coordonnées GPS;;;
Galerie photo;;;
Il n'y a aucune actualité;;;
;;;
 Activités;;;
Activités;;;
Titre;;;
Contenus;;;
Illustrations;;;
Catégorie;;;
En ligne ?;;;
Édition de l'activité;;;
Catégorie;;;
Titre;;;
Contenu;;;
Lien;;;
Coordonnées GPS;;;
Galerie photo;;;
Il n'y a aucune activité;;;
;;;
Produits;;;
Catégories;;;
Produits;;;
Type;;;
Titre;;;
Description;;;
Catégorie;;;
Type de tarification;;;
A la nuitée;;;
A la saison;;;
Édition de la catégorie;;;
Contenus;;;
Illustrations;;;
URL de la catégorie;;;
Coordonnées GPS;;;
Couleur du repère sur GoogleMap;;;
Rouge;;;
Bleu;;;
Vert;;;
Violet;;;
Jaune;;;
Éditer la location;;;
Introduction;;;
Disponibilités & tarifs;;;
Code HTML des disponibilités;;;
1 personne/nuit;;;
2 personnes/nuit;;;
3 personnes/nuit;;;
4 personnes/nuit;;;
Semaine;;;
Week-end;;;
Mid-week;;;
;;;
Description;;;
Photos;;;
Disponibilités & tarifs;;;
Reservation;;;
Disponibilités;;;
Tarifs;;;
Tarifs et calendrier des saisons;;;
Contactez nous pour plus d'informations;;;
&times;"
PRODUCT_PRICE_NIGHT_NUIT_SING;nuit
PRODUCT_PRICE_NIGHT_NUIT_PLUR;nuits
PRODUCT_PRICE_NIGHT_PERSONNES_1;1 personne
PRODUCT_PRICE_NIGHT_PERSONNES_2;2 personnes
PRODUCT_PRICE_NIGHT_PERSONNES_3;3 personnes
PRODUCT_PRICE_NIGHT_PERSONNES_4;4 personnes
PRODUCT_PRICE_SEASON_EMPTY;&times;";;
Semaine;;;
Week-end;;;
Mid-week;;;
Réservation ou tarif indisponible;;;
;;;
Contact;;;
Réserver / Nous contacter;;;
Nous localiser;;;
À propos de vous;;;
Nom;;;
Prénom;;;
E-mail;;;
Tél./Mob.;;;
Adresse complète;;;
À propos de votre demande;;;
Comment nous avez vous découvert ?;;;
 ---;;;
Moteur de recherche;;;
Abritel;;;
Bouche à oreille;;;
Autrement;;;
Nombre d'adultes;;;
Nombre d'enfants;;;
Date arrivée souhaitée;;;
Date départ souhaitée;;;
Location(s) souhaitée(s);;;
Souhaitez vous apporter des précisions ?;;;
Votre message nous a bien été envoyé. Nous y répondrons dans les meilleurs délais.;;;
Tous les champs marqués d'un * sont obligatoires.;;;
Faire une demande de réservation;;;
contact@gite-luchon.com;;;
[Gite-luchon.com] Nouvelle demande de réservation;;;
Pour afficher ce message, vous devez utiliser un client compatible HTML;;;
Chambres d'hôtes;;;
Chalet de montagne / Gîte;;;
42.814166;;;
0.55444;;;
;;;
•••••••••••• ADMINISTRATION ••••••••••••;inutile de traduire;;
 Global Admin;;;
Ajouter un élément;;;
Modifier un élément;;;
Supprimer un élément;;;
Êtes-vous sûr de vouloir supprimer cet élément ?;;;
Remonter l'élément;;;
Descendre l'élément;;;
Mettre en ligne;;;
Mettre hors ligne;;;
Aperçu;;;
Ajouté le;;;
Modifié le;;;
Supprimé le;;;
Actions;;;
Changer la langue d'édition;;;
Vous êtes sur le point de supprimer un élément. Confirmez vous cette suppression ?;;;
Confirmer;;;
Annuler;;;
;;;
 Menu Admin;;;
Carrousel;;;
Se déconnecter;;;
;;;
 Homepage Admin;;;
Connexion à l'interface d'administration;;;
Identifiant;;;
Mot de passe;;;
Se connecter;;;
Édition de la page d'accueil;;;
Édition de la page partenaires;;;
Titre;;;
Contenu;;;
;;;
 Carrousel Admin;;;
Édition des images du carrousel;;;
Nouveau fichier;;;
#;;;
Nom du fichier;;;
Type;;;
En ligne ?;;;
;;;
Saisons;;;
Modifier pour l'année :;;;
Saison;;;
