ERROR_404_TITLE;Oops !
HOME_ACTIVITY_MORE;Voir les autres activités
HOME_ACTIVITY_NEXT;Lire la suite de l'article
NEWS_LIST_TITLE;Actualités
NEWS_LIST_TITRE;Titre
NEWS_LIST_CATEGORIE;Catégorie
NEWS_LIST_ONLINE;En ligne ?
NEWS_CATEGORY_LABEL;Catégorie
NEWS_EDIT_LOCATION_LABEL;Coordonnées GPS
NEWS_ELEMENT_ILLUSTRATION;Galerie photo
NEWS_LIST_NORESULT;Il n'y a aucune actualité
NEWS_LIST_DATE_PUBLICATION;Publié le
NEWS_LIST_EN_SAVOIR_PLUS;Cliquez pour en savoir plus
ACTIVITY_LIST_TITLE;Activités
ACTIVITY_LIST_TITRE;Titre
ACTIVITY_LIST_CATEGORIE;Catégorie
ACTIVITY_LIST_ONLINE;En ligne ?
ACTIVITY_CATEGORY_LABEL;Catégorie
ACTIVITY_ELEMENT_ILLUSTRATION;Galerie photo
ACTIVITY_LIST_NORESULT;Il n'y a aucune activité
PRODUCTS_CATEGORY_LIST_TITLE;Catégories
PRODUCTS_PRODUCT_LIST_TITLE;Produits
PRODUCTS_LIST_TYPE;Type
PRODUCTS_LIST_TITRE;Titre
PRODUCTS_LIST_DESCRIPTION;Description
PRODUCTS_LIST_CATEGORIE;Catégorie
PRODUCTS_LIST_CATEGORIE_PRICINGTYPE;Type de tarification
PRODUCTS_LIST_CATEGORIE_PRICINGTYPE1;A la nuitée
PRODUCTS_LIST_CATEGORIE_PRICINGTYPE2;A la saison
PRODUCTS_LIST_CATEGORIE_ROUTE;URL de la catégorie
PRODUCTS_LIST_CATEGORIE_COORDONNEES;Coordonnées GPS
PRODUCTS_LIST_CATEGORIE_PINCOLOR;Couleur du repère sur GoogleMap
PRODUCTS_LIST_CATEGORIE_PINCOLOR_RED;Rouge
PRODUCTS_LIST_CATEGORIE_PINCOLOR_BLUE;Bleu
PRODUCTS_LIST_CATEGORIE_PINCOLOR_GREEN;Vert
PRODUCTS_LIST_CATEGORIE_PINCOLOR_PURPLE;Violet
PRODUCTS_LIST_CATEGORIE_PINCOLOR_YELLOW;Jaune
PRODUCTS_LIST_INTRO;Introduction
PRODUCTS_ONGLET_CONTENT;Description
PRODUCTS_ONGLET_PHOTOS;Photos
PRODUCTS_ONGLET_PRIX;Disponibilités & tarifs
PRODUCTS_ONGLET_RESERVER;Reservation
PRODUCTS_PRIX_DISPO;Disponibilités
PRODUCTS_PRIX_PRIX;Tarifs
PRODUCTS_ONGLET_GOLDBOOK;Livre d'or
PRODUCTS_PRIX_CALENDRIER;Tarifs et calendrier des saisons
PRODUCT_PRICE_SEASON_CONTACT_US;Contactez nous pour plus d'informations
PRODUCT_PRICE_NIGHT_NUIT_SING;nuit
PRODUCT_PRICE_NIGHT_NUIT_PLUR;nuits
PRODUCT_PRICE_NIGHT_PERSONNES_1;1 personne
PRODUCT_PRICE_NIGHT_PERSONNES_2;2 personnes
PRODUCT_PRICE_NIGHT_PERSONNES_3;3 personnes
PRODUCT_PRICE_NIGHT_PERSONNES_4;4 personnes
PRODUCT_PRICE_SEASON_EMPTY;"&times;"
PRODUCT_PRICE_SEASON_PERIODES_WEEK;Semaine
PRODUCT_PRICE_SEASON_PERIODES_WEEKEND;Week-end
PRODUCT_PRICE_SEASON_PERIODES_MIDWEEK;Mid-week
PRODUCT_PRICE_SEASON_PERIODES_INDISPO;Réservation ou tarif indisponible
PRODUCTS_GOLDBOOK_NEW_MESSAGE;Vous avez séjourné ici ? Laissez nous un message !
PRODUCTS_GOLDBOOK_MESSAGES;Témoignages de nos clients
PRODUCTS_GOLDBOOK_MESSAGES_DATES;Dates du séjour
PRODUCTS_GOLDBOOK_MESSAGES_DATES_DU;Du
PRODUCTS_GOLDBOOK_MESSAGES_DATES_AU;au
PRODUCTS_GOLDBOOK_MESSAGES_MESSAGE;Témoignage
GOLDBOOK_FORM_LABEL_CONTENU;Votre message
GOLDBOOK_FORM_LABEL_DEPART;Date de départ
GOLDBOOK_FORM_LABEL_ARRIVEE;Date d'arrivée
GOLDBOOK_FORM_SUBMIT;Laisser un message
DISPONIBILITES_DEMANDE_RESERVATION;Effectuer une demande de réservation
DISPONIBILITES_TITRE;Disponibilités
CONTACT_TITLE;Réserver / Nous contacter
CONTACT_MAP_TITLE;Nous localiser
CONTACT_FORM_FIELDSET_INFORMATIONS;À propos de vous
CONTACT_FORM_LABEL_NOM;Nom
CONTACT_FORM_LABEL_PRENOM;Prénom
CONTACT_FORM_LABEL_EMAIL;E-mail
CONTACT_FORM_LABEL_TELEPHONE;Tél./Mob.
CONTACT_FORM_LABEL_ADRESSE;Adresse complète
CONTACT_FORM_FIELDSET_DEMANDE;À propos de votre demande
CONTACT_FORM_LABEL_DECOUVERTE;Comment nous avez vous découvert ?
CONTACT_FORM_SELECT_DECOUVERTE_OPTION_VIDE; ---
CONTACT_FORM_SELECT_DECOUVERTE_OPTION_SE;Moteur de recherche
CONTACT_FORM_SELECT_DECOUVERTE_OPTION_ABRITEL;Abritel
CONTACT_FORM_SELECT_DECOUVERTE_OPTION_BOUCHEOREILLE;Bouche à oreille
CONTACT_FORM_SELECT_DECOUVERTE_OPTION_AUTRES;Autrement
CONTACT_FORM_LABEL_ADULTES;Nombre d'adultes
CONTACT_FORM_LABEL_ENFANTS;Nombre d'enfants
CONTACT_FORM_LABEL_ARRIVEE;Date arrivée souhaitée
CONTACT_FORM_LABEL_DEPART;Date départ souhaitée
CONTACT_FORM_LABEL_LOCATIONS;Location(s) souhaitée(s)
CONTACT_FORM_LABEL_PRECISIONS;Souhaitez vous apporter des précisions (âge des enfants obligatoire) ?
CONTACT_ENVOI_MAIL_MESSAGE_SUCCES;Votre message nous a bien été envoyé. Nous y répondrons dans les meilleurs délais.
CONTACT_ENVOI_MAIL_MESSAGE_OBLIGATOIRE;Tous les champs marqués d'un * sont obligatoires.
CONTACT_FORM_SUBMIT;Faire une demande de réservation
CONTACT_ENVOI_MAIL_MAIL;contact@gite-luchon.com
CONTACT_ENVOI_MAIL_SUJET;[Gite-luchon.com] Nouvelle demande de réservation
CONTACT_ENVOI_MAIL_ALT;Pour afficher ce message, vous devez utiliser un client compatible HTML
CONTACT_OPTION_CHALET;Tout le chalet


ACTIVITY_EDIT_TABS_CONTENT;Contenus;private
ACTIVITY_EDIT_TABS_PICTURES;Illustrations;private
ACTIVITY_EDIT_TITLE;Édition de l'activité;private
ACTIVITY_EDIT_TITLE_LABEL;Titre;private
ACTIVITY_EDIT_CONTENT_LABEL;Contenu;private
ACTIVITY_EDIT_LINK_LABEL;Lien;private
ACTIVITY_EDIT_LOCATION_LABEL;Coordonnées GPS;private
NEWS_EDIT_TABS_CONTENT;Contenus;private
NEWS_EDIT_TABS_PICTURES;Illustrations;private
NEWS_EDIT_TITLE;Édition de news;private
NEWS_EDIT_TITLE_LABEL;Titre;private
NEWS_EDIT_CONTENT_LABEL;Contenu;private
NEWS_EDIT_LINK_LABEL;Lien;private
ERROR_EXCEPTION_SITE_UNKNOWN;Le site que vous essayez d'atteindre n'existe pas.;private
ERROR_EXCEPTION_INVALIDARGUMENT;ERREUR TECHNIQUE : L'entity n'est pas correcte;private
ERROR_EXCEPTION_INVALIDARGUMENT_DAL_ROW_PROPERTYNAME;La propriété demandée n'existe pas;private
ERROR_DB_CONNECTION;Erreur lors de la connexion à la base de données;private
META_GOOGLE_VERIF;MyUxzCNcdspiFGJxWUrpzL0A2rf3TfQdg88ZBvrGL10;private
PRODUCTS_EDIT_CATEGORIE_TITLE;Édition de la catégorie;private
PRODUCTS_EDIT_TABS_CONTENT;Contenus;private
PRODUCTS_EDIT_TABS_PICTURES;Illustrations;private
PRODUCTS_EDIT_TABS_GOLDBOOK;Messages du Livre d'or publics;private
PRODUCTS_EDIT_TABS_GOLDBOOK_AVALIDER;Messages du Livre d'or à valider;private
CONTACT_CENTER_COORDINATES_LAT;42.814166;private
CONTACT_CENTER_COORDINATES_LONG;0.55444;private
GLOBAL_ADMIN_ADD;Ajouter un élément;private
GLOBAL_ADMIN_UPDATE;Modifier un élément;private
GLOBAL_ADMIN_DELETE;Supprimer un élément;private
GLOBAL_ADMIN_DELETE_CONFIRM;Êtes-vous sûr de vouloir supprimer cet élément ?;private
GLOBAL_ADMIN_UP;Remonter l'élément;private
GLOBAL_ADMIN_DOWN;Descendre l'élément;private
GLOBAL_ADMIN_ONLINE;Mettre en ligne;private
GLOBAL_ADMIN_OFFLINE;Mettre hors ligne;private
GLOBAL_ADMIN_LIST_APERCU;Aperçu;private
GLOBAL_ADMIN_LIST_DATE_AJOUT;Ajouté le;private
GLOBAL_ADMIN_LIST_DATE_MODIFICATION;Modifié le;private
GLOBAL_ADMIN_LIST_DATE_SUPPRESSION;Supprimé le;private
GLOBAL_ADMIN_LIST_ACTIONS;Actions;private
GLOBAL_LANGUAGETOGGLER_LABEL;Changer la langue d'édition;private
GLOBAL_MODAL_DELETE_TEXT;Vous êtes sur le point de supprimer un élément. Confirmez vous cette suppression ?;private
GLOBAL_MODAL_DELETE_CONFIRM;Confirmer;private
GLOBAL_MODAL_DELETE_CANCEL;Annuler;private
GLOBAL_MENU_CARROUSEL;Carrousel;private
GLOBAL_MENU_DECONNEXION;Se déconnecter;private
GLOBAL_MENU_TRADUCTIONS;Traductions;private
GLOBAL_MENU_SEASON;Saisons;private
HOME_LOGIN_TITLE;Connexion à l'interface d'administration;private
HOME_LOGIN_FORM_LOGIN_LABEL;Identifiant;private
HOME_LOGIN_FORM_PASSWORD_LABEL;Mot de passe;private
HOME_LOGIN_FORM_SUBMIT_LABEL;Se connecter;private
HOME_PAGECMS_HOME_TITLE;Édition de la page d'accueil;private
HOME_PAGECMS_PARTNERS_TITLE;Édition de la page partenaires;private
HOME_PAGECMS_EDIT_TITLE_LABEL;Titre;private
HOME_PAGECMS_EDIT_CONTENT_LABEL;Contenu;private
HOME_CARROUSEL_TITLE;Édition des images du carrousel;private
HOME_CARROUSEL_FILE_LABEL;Nouveau fichier;private
HOME_CARROUSEL_LIST_ID;#;private
HOME_CARROUSEL_LIST_ORIGINALFILENAME;Nom du fichier;private
HOME_CARROUSEL_LIST_TYPE;Type;private
HOME_CARROUSEL_LIST_ONLINE;En ligne ?;private
SEASON_CHANGE_YEAR;Modifier pour l'année :;private
SEASON_TYPE;Saison;private
TRADUCTION_TITLE;Administration des traductions;private
PRODUCTS_EDIT_PRODUCT_TITLE;Éditer la location;private
PRODUCTS_EDIT_TABS_PRICES;Disponibilités & tarifs;private
PRODUCTS_EDIT_PRICE_DISPO;Code HTML des disponibilités;private
PRODUCTS_EDIT_PRICE_NUIT1;1 personne/nuit;private
PRODUCTS_EDIT_PRICE_NUIT2;2 personnes/nuit;private
PRODUCTS_EDIT_PRICE_NUIT3;3 personnes/nuit;private
PRODUCTS_EDIT_PRICE_NUIT4;4 personnes/nuit;private
PRODUCTS_EDIT_PRICE_SAISON_SEMAINE;Semaine;private
PRODUCTS_EDIT_PRICE_SAISON_WEEKEND;Week-end;private
PRODUCTS_EDIT_PRICE_SAISON_MIDWEEK;Mid-week;private
PRODUCT_PRICE_NIGHT_EMPTY;"&times;";private
